unit_measure,year,coffee,coal,oil_oilbyproducts,ferronickel
MetricTons,2013,529806,52675813,19721265,94999.0
MetricTons,2014,617959,89095315,49142512,132555.0
MetricTons,2015,711111,74711449,48431826,128634.0
MetricTons,2016,732967,85127799,43935044,127742.0
MetricTons,2017,710355,105235590,40029965,110957.0
MetricTons,2018,347495,47712693,18711895,80686.0
USDkFOB,2013,1669359,4061091,11191698,778214.0
USDkFOB,2014,2076375,5681096,24757038,527796.0
USDkFOB,2015,2526532,4560026,14566130,429752.0
USDkFOB,2016,2417693,4638881,10795579,327765.0
USDkFOB,2017,2513503,7389996,13166719,360543.0
USDkFOB,2018,1125071,3961935,8157412,338663.0
